district,District,Country,District_code
6,Buenos Aires,ARG,1
10,Catamarca,ARG,2
22,Chaco,ARG,3
26,Chubut,ARG,4
2,Ciudad Autónoma De Buenos Aires,ARG,5
18,Corrientes,ARG,6
14,Córdoba,ARG,7
30,Entre Ríos,ARG,8
34,Formosa,ARG,9
38,Jujuy,ARG,10
42,La Pampa,ARG,11
46,La Rioja,ARG,12
50,Mendoza,ARG,13
54,Misiones,ARG,14
58,Neuquén,ARG,15
62,Río Negro,ARG,16
66,Salta,ARG,17
70,San Juan,ARG,18
74,San Luis,ARG,19
78,Santa Cruz,ARG,20
82,Santa Fe,ARG,21
86,Santiago Del Estero,ARG,22
94,Tierra Del Fuego,ARG,23
90,Tucumán,ARG,24
2,Aragatsotn,ARM,25
3,Ararat,ARM,26
4,Armavir,ARM,27
5,Gegharkunik,ARM,28
7,Kotayk,ARM,29
6,Lori,ARM,30
8,Shirak,ARM,31
9,Sjunik,ARM,32
11,Tavush,ARM,33
10,Vayots Dzor,ARM,34
1,Yerevan,ARM,35
NA,NA,AUS,36
1,Burgenland,AUT,37
2,Kärnten,AUT,38
3,Niederösterreich,AUT,39
4,Oberösterreich,AUT,40
5,Salzburg,AUT,41
6,Steiermark,AUT,42
7,Tirol,AUT,43
8,Vorarlberg,AUT,44
9,Wien,AUT,45
BE1,Be1,BEL,46
BE2,Be2,BEL,47
BE3,Be3,BEL,48
1201,Abomey,BEN,49
301,Abomey-Calavi,BEN,50
1101,Adja-Ouere,BEN,51
1001,Adjarra,BEN,52
1002,Adjohoun,BEN,53
1102,Afangni,BEN,54
1202,Agbangnizoun,BEN,55
1003,Aguegues,BEN,56
1004,Akpro-Misserete,BEN,57
302,Allada,BEN,58
601,Aplahoue,BEN,59
901,Athieme,BEN,60
1005,Avrankou,BEN,61
101,Banikoara,BEN,62
501,Bante,BEN,63
701,Bassila,BEN,64
401,Bembereke,BEN,65
1203,Bohicon,BEN,66
1006,Bonou,BEN,67
902,Bopa,BEN,68
201,Boukoumbe,BEN,69
202,Cobly,BEN,70
903,Come,BEN,71
702,Copargo,BEN,72
801,Cotonou,BEN,73
1204,Cove,BEN,74
1007,Dangbo,BEN,75
502,Dassa-Zoume,BEN,76
602,Djakotome,BEN,77
1205,Djidja,BEN,78
703,Djougou,BEN,79
603,Dogbo,BEN,80
503,Glazoue,BEN,81
102,Gogounou,BEN,82
904,Grand-Popo,BEN,83
905,Houeyogbe,BEN,84
402,Kalale,BEN,85
103,Kandi,BEN,86
104,Karimama,BEN,87
203,Kerou,BEN,88
1103,Ketou,BEN,89
604,Klouekanme,BEN,90
204,Kouande,BEN,91
303,Kpomasse,BEN,92
605,Lalo,BEN,93
906,Lokossa,BEN,94
105,Malanville,BEN,95
205,Materi,BEN,96
403,N'dali,BEN,97
206,Natitingou,BEN,98
404,Nikki,BEN,99
704,Ouake,BEN,100
504,Ouesse,BEN,101
304,Ouidah,BEN,102
1206,Ouinhi,BEN,103
405,Parakou,BEN,104
207,Pehunco,BEN,105
406,Perere,BEN,106
1104,Pobe,BEN,107
1008,Porto-Novo,BEN,108
1105,Sakete,BEN,109
505,Savalou,BEN,110
506,Save,BEN,111
106,Segbana,BEN,112
1009,Seme-Kpodji,BEN,113
407,Sinende,BEN,114
305,So-Ava,BEN,115
208,Tanguiete,BEN,116
408,Tchaourou,BEN,117
306,Toffo,BEN,118
307,Tori-Bossito,BEN,119
209,Toucountouna,BEN,120
606,Toviklin,BEN,121
1208,Za-Kpota,BEN,122
1207,Zagnanado,BEN,123
308,Ze,BEN,124
1209,Zogbodomey,BEN,125
31,Balé,BFA,126
1,Bam,BFA,127
32,Banwa,BFA,128
2,Bazèga,BFA,129
3,Bougouriba,BFA,130
4,Boulgou,BFA,131
5,Boulkiemdé,BFA,132
6,Comoé,BFA,133
7,Ganzourgou,BFA,134
8,Gnagna,BFA,135
9,Gourma,BFA,136
10,Houet,BFA,137
33,Ioba,BFA,138
11,Kadiogo,BFA,139
34,Komandjoari,BFA,140
35,Kompienga,BFA,141
13,Kossi,BFA,142
36,Koulpelgo,BFA,143
14,Kouritenga,BFA,144
37,Kourweogo,BFA,145
12,Kénédougou,BFA,146
39,Loroum,BFA,147
38,Léraba,BFA,148
15,Mouhoun,BFA,149
16,Nahouri,BFA,150
17,Namentenga,BFA,151
40,Nayala,BFA,152
41,Noumbiel,BFA,153
18,Oubritenga,BFA,154
19,Oudalan,BFA,155
20,Passoré,BFA,156
21,Poni,BFA,157
22,Sanguié,BFA,158
23,Sanmatenga,BFA,159
25,Sissili,BFA,160
26,Soum,BFA,161
27,Sourou,BFA,162
24,Séno,BFA,163
28,Tapoa,BFA,164
42,Tuy,BFA,165
43,Yagha,BFA,166
29,Yatenga,BFA,167
44,Ziro,BFA,168
45,Zondoma,BFA,169
30,Zoundwéogo,BFA,170
1,1,BGD,171
10,10,BGD,172
12,12,BGD,173
13,13,BGD,174
