Country,Language,language,Language_code
ARG,NA,NA,1
ARM,NA,NA,2
BEL,NA,NA,3
BEN,NA,NA,4
BFA,NA,NA,5
BGD,NA,NA,6
BGR,NA,NA,7
BOL,010. CHIMAN,10,8
BOL,012. GUARANI,12,9
BOL,014. GUARAYU,14,10
BOL,002. AYMARA,2,11
BOL,024. MOVIMA,24,12
BOL,027. QUECHUA,27,13
BOL,032. URUCHIPAYA,32,14
BOL,033. WEENHAYEK,33,15
BOL,041. ALEMÁN,41,16
BOL,042. ÁRABE,42,17
BOL,Other language,45,18
BOL,Other language,5,19
BOL,054. INGLÉS,54,20
BOL,058. PORTUGUÉS,58,21
BOL,006. CASTELLANO (español),6,22
BOL,995. B. NO PUEDE HABLAR,995,23
BRA,NA,NA,24
BRB,NA,NA,25
CAN,NA,NA,26
CHL,NA,NA,27
CIV,NA,NA,28
COL,NA,NA,29
CRI,NA,NA,30
CYP,NA,NA,31
CZE,NA,NA,32
DEU,NA,NA,33
DNK,NA,NA,34
DOM,NA,NA,35
ECU,NA,NA,36
EGY,NA,NA,37
ESP,NA,NA,38
EST,NA,NA,39
ETH,NA,NA,40
FIN,NA,NA,41
FRA,NA,NA,42
GBR,NA,NA,43
GEO,NA,NA,44
GHA,NA,NA,45
GNB,NA,NA,46
GRC,NA,NA,47
GTM,K'iche',1,48
GTM,Chuj,10,49
GTM,Awateko,11,50
GTM,Tz'utujil,18,51
GTM,Q'eqchi',2,52
GTM,Chalchiteko,21,53
GTM,Akateko,22,54
GTM,Garifuna,24,55
GTM,Español,25,56
GTM,Kaqchiquel,3,57
GTM,Mam,4,58
GTM,Q'anjob'al,5,59
GTM,Achi,6,60
GTM,Ixil,7,61
GTM,Poqomchi',9,62
GTM,Otro idioma,98,63
HRV,NA,NA,64
HUN,NA,NA,65
IDN,NA,NA,66
IND,NA,NA,67
IRL,NA,NA,68
IRQ,NA,NA,69
ISR,NA,NA,70
ITA,NA,NA,71
JOR,NA,NA,72
KEN,NA,NA,73
KHM,NA,NA,74
LBR,NA,NA,75
LTU,NA,NA,76
LUX,NA,NA,77
LVA,NA,NA,78
MAR,NA,NA,79
MDV,NA,NA,80
MEX,Indigeneous and Spanish,1,81
MEX,Indigeneous,2,82
MEX,Spanish,3,83
MLI,NA,NA,84
MMR,Kachin,1,85
MMR,Chinese,10,86
MMR,Hindi/other indian,12,87
MMR,Other indigenous,13,88
MMR,Kayah,2,89
MMR,Kayin,3,90
MMR,Chin,4,91
MMR,Mon,5,92
MMR,Myanmar,6,93
MMR,Rakine,7,94
MMR,Shan,8,95
MMR,Other indigenous,9,96
MNG,NA,NA,97
MWI,CHEWA,1,98
MWI,TONGA,10,99
MWI,LAMBYA,11,100
MWI,SENGA,12,101
MWI,SUKWA/NDALI,13,102
MWI,ENGLISH,14,103
MWI,OTHER,15,104
MWI,NYANJA,2,105
MWI,YAO,3,106
MWI,TUMBUKA,4,107
MWI,LOMWE,5,108
MWI,NKHONDE,6,109
MWI,NGONI,7,110
MWI,SENA,8,111
MWI,NYAKYUSA,9,112
NER,NA,NA,113
NGA,NA,NA,114
NIC,NA,NA,115
NLD,NA,NA,116
NOR,NA,NA,117
PAK,NA,NA,118
PER,quechua,1,119
PER,aymará,2,120
PER,otra lengua nativa,3,121
PER,castellano,4,122
PER,portugués,6,123
PER,otra lengua extranjera,7,124
PER,no escucha/no habla,8,125
PER,lengua de señas peruanas,9,126
PHL,NA,NA,127
POL,NA,NA,128
PRT,NA,NA,129
PRY,guaraní,1,130
PRY,guaraní y castellano,2,131
PRY,castellano,3,132
PRY,otro idioma,4,133
PRY,no habla,5,134
ROU,NA,NA,135
RWA,NA,NA,136
SEN,NA,NA,137
SLV,NA,NA,138
SUR,NA,NA,139
SVK,NA,NA,140
SWE,NA,NA,141
TGO,NA,NA,142
THA,NA,NA,143
TUR,NA,NA,144
UGA,NA,NA,145
URY,NA,NA,146
USA,NA,NA,147
VNM,NA,NA,148
ZAF,NA,NA,149
