Country,Nationality,nationality,Nationality_code
ARG,NA,NA,1
ARM,NA,NA,2
BEL,NA,NA,3
BEN,Benin,1,4
BEN,Autre CEDEAO,10,5
BEN,Autre Afrique,11,6
BEN,Autre pays hors Afrique,12,7
BEN,Burkina Faso,2,8
BEN,Côte d'Ivoire,3,9
BEN,Guinée Bissau,4,10
BEN,Mali,5,11
BEN,Niger,6,12
BEN,Sénégal,7,13
BEN,Togo,8,14
BEN,Nigéria,9,15
BFA,Benin,1,16
BFA,Autre Afrique,11,17
BFA,Autre pays hors Afrique,12,18
BFA,Burkina Faso,2,19
BFA,Côte d'Ivoire,3,20
BFA,Mali,5,21
BFA,Niger,6,22
BFA,Sénégal,7,23
BFA,Togo,8,24
BFA,Nigéria,9,25
BGD,NA,NA,26
BGR,NA,NA,27
BOL,NA,NA,28
BRA,NA,NA,29
BRB,NA,NA,30
CAN,NA,NA,31
CHL,NA,NA,32
CIV,Benin,1,33
CIV,Autre CEDEAO,10,34
CIV,Autre Afrique,11,35
CIV,Autre pays hors Afrique,12,36
CIV,Burkina Faso,2,37
CIV,Côte d'Ivoire,3,38
CIV,Guinée Bissau,4,39
CIV,Mali,5,40
CIV,Niger,6,41
CIV,Sénégal,7,42
CIV,Togo,8,43
CIV,Nigéria,9,44
COL,NA,NA,45
CRI,NA,NA,46
CYP,NA,NA,47
CZE,NA,NA,48
DEU,NA,NA,49
DNK,NA,NA,50
DOM,NA,NA,51
ECU,NA,NA,52
EGY,NA,NA,53
ESP,NA,NA,54
EST,NA,NA,55
ETH,NA,NA,56
FIN,NA,NA,57
FRA,NA,NA,58
GBR,NA,NA,59
GEO,NA,NA,60
GHA,NA,NA,61
GNB,Benim,1,62
GNB,Outra da CEDEAO,10,63
GNB,Outra em África,11,64
GNB,Outro país não africano,12,65
GNB,Costa do Marfim,3,66
GNB,Guiné-Bissau,4,67
GNB,Mali,5,68
GNB,Senegal,7,69
GNB,Nigéria,9,70
GRC,NA,NA,71
GTM,NA,NA,72
HRV,NA,NA,73
HUN,NA,NA,74
IDN,NA,NA,75
IND,NA,NA,76
IRL,NA,NA,77
IRQ,NA,NA,78
ISR,NA,NA,79
ITA,NA,NA,80
JOR,NA,NA,81
KEN,NA,NA,82
KHM,NA,NA,83
LBR,NA,NA,84
LTU,NA,NA,85
LUX,NA,NA,86
LVA,NA,NA,87
MAR,NA,NA,88
MDV,Maldivian,1,89
MDV,Foreigner,2,90
MEX,NA,NA,91
MLI,Benin,1,92
MLI,Autre CEDEAO,10,93
MLI,Autre Afrique,11,94
MLI,Autre pays hors Afrique,12,95
MLI,Burkina Faso,2,96
MLI,c,3,97
MLI,Guin,4,98
MLI,Mali,5,99
MLI,Niger,6,100
MLI,s,7,101
MLI,Togo,8,102
MMR,NA,NA,103
MNG,NA,NA,104
MWI,NA,NA,105
NER,Benin,1,106
NER,Autre Afrique,11,107
NER,Cameroun,13,108
NER,Tchad,14,109
NER,Burkina Faso,2,110
NER,Côte d'Ivoire,3,111
NER,Mali,5,112
NER,Niger,6,113
NER,Sénégal,7,114
NER,Togo,8,115
NER,Nigéria,9,116
NGA,NA,NA,117
NIC,NA,NA,118
NLD,NA,NA,119
NOR,NA,NA,120
PAK,NA,NA,121
PER,NA,NA,122
PHL,NA,NA,123
POL,NA,NA,124
PRT,NA,NA,125
PRY,NA,NA,126
ROU,NA,NA,127
RWA,Rwandese,60,128
RWA,Burundian,61,129
RWA,Congolese,62,130
RWA,Ugandan,63,131
RWA,Kenyan,65,132
RWA,Other African,66,133
SEN,Autre CEDEAO,10,134
SEN,Autre Afrique,11,135
SEN,Autre pays hors Afrique,12,136
SEN,Burkina Faso,2,137
SEN,Guinée Bissau,4,138
SEN,Mali,5,139
SEN,Niger,6,140
SEN,Sénégal,7,141
SEN,Togo,8,142
SEN,Nigéria,9,143
SLV,NA,NA,144
SUR,Suriname,1,145
SUR,The Netherlands,2,146
SUR,Guyana,3,147
SUR,Brasil,4,148
SUR,French Guyana,5,149
SUR,China,6,150
SUR,Other,7,151
SVK,NA,NA,152
SWE,NA,NA,153
TGO,Benin,1,154
TGO,Autre CEDEAO,10,155
TGO,Autre Afrique,11,156
TGO,Burkina Faso,2,157
TGO,Côte d'Ivoire,3,158
TGO,Guinée Bissau,4,159
TGO,Mali,5,160
TGO,Niger,6,161
TGO,Togo,8,162
TGO,Nigéria,9,163
THA,NA,NA,164
TUR,NA,NA,165
UGA,NA,NA,166
URY,NA,NA,167
USA,NA,NA,168
VNM,NA,NA,169
ZAF,NA,NA,170
