province,Province,Country,Province_code
2C,Buenos Aires,ARG,1
4B,Chaco Y Formosa,ARG,2
6B,"Chubut, Santa Cruz Y Tierra Del Fuego",ARG,3
1A,Ciudad Autónoma De Buenos Aires,ARG,4
2A,Córdoba Y La Pampa,ARG,5
3A,"Jujuy, Salta Y Tucumán",ARG,6
3B,"La Rioja, Catamarca Y Santiago Del Estero",ARG,7
4A,Misiones Y Corrientes,ARG,8
6A,Neuquén Y Río Negro,ARG,9
1B,Partidos Del Gran Buenos Aires,ARG,10
5,"San Juan, Mendoza Y San Luis",ARG,11
2B,Santa Fe Y Entre Ríos,ARG,12
NA,NA,ARM,13
8,Australian Capital Territory,AUS,14
1,New South Wales,AUS,15
7,Northern Territory,AUS,16
3,Queensland,AUS,17
4,South Australia,AUS,18
6,Tasmania,AUS,19
2,Victoria,AUS,20
5,Western Australia,AUS,21
1,Ostösterreich,AUT,22
2,Südösterreich,AUT,23
3,Westösterreich,AUT,24
NA,NA,BEL,25
1,Alibori,BEN,26
2,Atacora,BEN,27
3,Atlantique,BEN,28
4,Borgou,BEN,29
5,Collines,BEN,30
6,Couffo,BEN,31
7,Donga,BEN,32
8,Littoral,BEN,33
9,Mono,BEN,34
10,Oueme,BEN,35
11,Plateau,BEN,36
12,Zou,BEN,37
1,Boucle Du Mouhoun,BFA,38
2,Cascades,BFA,39
3,Centre,BFA,40
4,Centre-Est,BFA,41
5,Centre-Nord,BFA,42
6,Centre-Ouest,BFA,43
7,Centre-Sud,BFA,44
8,Est,BFA,45
9,Hauts Bassins,BFA,46
10,Nord,BFA,47
11,Plateau-Central,BFA,48
12,Sahel,BFA,49
13,Sud-Ouest,BFA,50
10,Barisal,BGD,51
20,Chittagong,BGD,52
30,Dhaka,BGD,53
40,Khulna,BGD,54
50,Rajshani,BGD,55
55,Rajshani/Sylhet,BGD,56
60,Sylhet,BGD,57
NA,NA,BGR,58
NA,NA,BOL,59
12,Acre,BRA,60
27,Alagoas,BRA,61
16,Amapá,BRA,62
13,Amazonas,BRA,63
29,Bahia,BRA,64
23,Ceará,BRA,65
53,Distrito Federal,BRA,66
32,Espírito Santo,BRA,67
52,Goiás,BRA,68
21,Maranhão,BRA,69
51,Mato Grosso,BRA,70
50,Mato Grosso Do Sul,BRA,71
31,Minas Gerais,BRA,72
41,Paraná,BRA,73
25,Paraíba,BRA,74
15,Pará,BRA,75
26,Pernambuco,BRA,76
22,Piauí,BRA,77
33,Rio De Janeiro,BRA,78
24,Rio Grande Do Norte,BRA,79
43,Rio Grande Do Sul,BRA,80
11,Rondônia,BRA,81
